population_size,generations,tournament_size,crossover_rate,mutation_rate,avg_fitness,std_fitness,max_fitness,min_fitness,avg_generations_used,robust_score
120,150,3,0.8,0.05,1642.34912,1.612763101636452,1645.1683,1641.2399,128.8,1640.7363568983637
80,150,2,0.7,0.02,1643.56476,3.2362850481687215,1647.6789,1640.3183,133,1640.3284749518314
120,150,3,0.7,0.05,1642.21318,2.6736860187763223,1646.5486,1639.6598000000001,141.6,1639.5394939812236
120,150,2,0.8,0.02,1642.7729199999999,3.461238315545479,1646.5876,1640.0489,135,1639.3116816844545
120,150,2,0.8,0.05,1638.87752,3.093998458629233,1643.9693,1636.6502999999998,140,1635.7835215413709
80,150,2,0.9,0.02,1640.06016,4.711835569923926,1643.7179,1631.9284,107.8,1635.348324430076
120,150,3,0.9,0.02,1640.01926,5.80336814901487,1649.9902,1635.0991999999999,93,1634.2158918509851
80,150,3,0.7,0.02,1641.77112,8.06354951476084,1652.7384,1632.771,112.6,1633.7075704852393
80,150,3,0.8,0.02,1640.9588,7.577125400506441,1651.0281,1633.1984,93.8,1633.3816745994936
120,150,3,0.9,0.05,1637.9157599999999,4.803264139416041,1642.379,1631.5711,126,1633.1124958605837
120,150,3,0.7,0.02,1638.41562,6.4950716313986705,1644.9098,1630.7595000000001,124.6,1631.9205483686014
80,150,3,0.9,0.05,1636.99692,6.227740144867933,1647.8899,1633.0991999999999,119.6,1630.769179855132
120,150,2,0.7,0.02,1640.87284,10.122905946070999,1655.8687,1627.4192,131.8,1630.749934053929
120,150,2,0.9,0.05,1637.4336600000001,7.44670800239952,1645.4407,1626.319,121.6,1629.9869519976007
80,150,2,0.7,0.05,1634.9969,5.624563731970676,1642.7593,1629.3906,148.8,1629.3723362680294
120,150,2,0.7,0.05,1638.27224,9.422041908365745,1649.4287000000002,1625.7706,148.6,1628.8501980916342
80,150,3,0.9,0.02,1635.4971600000001,8.895277707750427,1648.2087000000001,1626.2973,111.4,1626.6018822922497
120,150,3,0.8,0.02,1637.50904,10.951689252941813,1651.9995000000001,1623.4294,110,1626.557350747058
80,150,2,0.8,0.05,1634.4673,8.24936283327382,1641.1399999999999,1621.73,134.4,1626.2179371667262
120,150,2,0.9,0.02,1640.76074,15.013069054094217,1656.3079,1625.32,132.2,1625.7476709459056
80,150,3,0.8,0.05,1632.6945,8.429886461572353,1644.6679000000001,1622.5885,115.4,1624.2646135384277
80,150,3,0.7,0.05,1635.1390000000001,11.958006917542749,1652.4073,1619.0305,127.2,1623.1809930824575
80,150,2,0.8,0.02,1636.88744,14.43331473200107,1653.6182,1617.8307,125.2,1622.454125267999
80,150,2,0.9,0.05,1634.18114,16.433473136041567,1651.7783,1609.999,139.4,1617.7476668639583
