config_id,population_size,max_generations,convergence_patience,mutation_rate,crossover_rate,tournament_size,elite_count,alpha,beta,penalty_below,penalty_above,n_reps,fitness_mean,fitness_std,fitness_min,fitness_max,fitness_cv,schedule_rate_mean,schedule_rate_std,time_mean_s,time_std_s,score
17,40,50,7,0.103,0.918,10,1,0.872,0.128,50.0,30.0,3,431.3459,5.2798,424.1168,436.5788,1.22,84.36,3.08,54.81,4.07,0.9655
7,30,30,10,0.083,0.789,7,3,0.875,0.125,30.0,30.0,3,430.6279,5.8428,423.6928,437.9859,1.36,83.95,2.66,47.2,10.79,0.9593
6,20,50,5,0.059,0.757,7,1,0.842,0.158,30.0,20.0,3,409.4207,6.6374,401.9592,418.0837,1.62,81.89,2.54,42.66,5.83,0.8583
9,15,30,15,0.104,0.753,7,1,0.762,0.238,100.0,30.0,3,373.7492,4.0133,369.1229,378.9098,1.07,83.95,2.02,26.79,4.63,0.8104
12,15,30,15,0.169,0.817,7,3,0.844,0.156,30.0,30.0,3,403.1353,9.4965,390.3633,413.1175,2.36,78.6,3.08,25.56,2.12,0.7808
10,40,20,10,0.078,0.886,7,3,0.734,0.266,100.0,20.0,3,360.4858,3.812,356.2481,365.4905,1.06,84.36,1.54,42.01,2.37,0.769
14,30,50,7,0.152,0.727,7,3,0.703,0.297,50.0,10.0,3,344.9591,4.5554,340.7795,351.2946,1.32,82.72,2.02,45.81,3.81,0.6868
20,15,50,7,0.106,0.821,5,3,0.874,0.126,100.0,10.0,3,390.5741,53.1683,315.5936,432.9359,13.61,81.07,2.33,28.23,5.41,0.6601
1,15,20,10,0.099,0.735,3,3,0.796,0.204,30.0,30.0,3,375.1366,5.8845,369.881,383.3523,1.57,74.48,2.54,36.2,3.85,0.6224
8,20,50,7,0.083,0.795,5,3,0.63,0.37,30.0,10.0,3,313.0176,1.6669,311.0216,315.1017,0.53,82.31,1.54,35.72,3.99,0.6017
11,20,20,15,0.068,0.712,3,1,0.751,0.249,100.0,30.0,3,352.4428,9.1363,342.0827,364.3094,2.59,75.72,4.2,22.51,1.39,0.5774
15,30,20,5,0.17,0.822,3,2,0.851,0.149,80.0,10.0,3,379.3367,3.2283,374.9428,382.6076,0.85,71.19,2.54,46.21,10.87,0.5736
3,40,50,10,0.212,0.702,5,3,0.669,0.331,80.0,10.0,3,327.847,1.8087,325.2909,329.2089,0.55,81.89,0.58,161.14,19.07,0.5502
16,15,20,5,0.067,0.821,3,3,0.806,0.194,50.0,30.0,3,356.9446,30.6078,313.6722,379.5197,8.57,75.72,2.33,16.39,2.87,0.5262
5,40,50,5,0.245,0.795,7,3,0.747,0.253,80.0,30.0,3,345.9266,2.6485,343.7035,349.6486,0.77,74.49,1.16,127.98,28.43,0.483
2,40,20,5,0.069,0.758,3,3,0.58,0.42,100.0,10.0,3,284.578,5.9683,276.6991,291.139,2.1,81.48,2.67,71.42,4.6,0.4601
4,20,30,5,0.069,0.724,7,3,0.606,0.394,30.0,30.0,3,285.2675,18.9432,258.7278,301.6999,6.64,82.31,2.54,39.67,7.59,0.4477
19,20,50,7,0.051,0.877,3,1,0.527,0.473,30.0,20.0,3,260.3868,1.5139,258.9582,262.4821,0.58,81.07,2.1,29.13,5.44,0.4282
18,30,30,10,0.138,0.829,3,1,0.59,0.41,80.0,10.0,3,280.3379,2.0617,277.4897,282.3023,0.74,76.96,1.16,70.33,7.31,0.3782
13,15,50,10,0.204,0.785,7,2,0.563,0.437,30.0,30.0,3,264.6748,11.0527,249.0553,272.9998,4.18,76.13,4.07,36.27,4.77,0.3007
