population_size,generations,tournament_size,crossover_rate,mutation_rate,stagnation_limit,avg_fitness,max_fitness,min_fitness,avg_generations_used,assigned_TRA,assigned_CG,assigned_URO,assigned_NEU,assigned_GIN,assigned_OFT
120,150,3,0.8,0.05,30,1.13769757489301,1.1392482168330957,1.1351783166904421,59.46666666666667,12,14,10,4,10,13
120,150,3,0.9,0.02,30,1.1372504992867332,1.1392482168330957,1.1318844507845935,52.06666666666667,12,14,10,4,10,13
120,150,2,0.9,0.02,30,1.136948359486448,1.1392482168330957,1.134891583452211,61.6,12,14,10,4,10,13
120,150,3,0.9,0.05,30,1.136888730385164,1.1392482168330957,1.1346119828815977,53.2,12,14,10,4,10,13
120,150,3,0.9,0.02,15,1.1368416547788873,1.1392482168330957,1.1305420827389443,35.46666666666667,12,14,10,4,10,13
120,150,3,0.7,0.05,30,1.1367236329053734,1.1392482168330957,1.1323181169757488,61.333333333333336,12,14,10,4,10,13
80,150,3,0.9,0.05,30,1.1367203994293866,1.1392482168330957,1.1323181169757488,58.6,12,14,10,4,10,13
80,150,3,0.7,0.05,30,1.1366066571564433,1.1392482168330957,1.1262553495007133,59.733333333333334,12,14,10,4,10,13
120,150,3,0.9,0.05,15,1.1365982881597718,1.1392482168330957,1.1323181169757488,35.93333333333333,12,14,10,4,10,13
120,150,3,0.7,0.02,30,1.1363703281027104,1.1392482168330957,1.1294022824536376,49.733333333333334,12,14,10,4,10,13
80,150,2,0.9,0.02,30,1.1359632905373276,1.1392482168330957,1.130821683309558,58.733333333333334,12,14,10,4,10,13
120,150,3,0.8,0.05,15,1.1359381835473132,1.1392482168330957,1.1279058487874465,35.2,12,14,10,4,10,13
80,150,2,0.7,0.02,30,1.1358845458868283,1.1392482168330957,1.1305420827389443,68.06666666666666,12,14,10,4,10,13
80,150,2,0.8,0.02,30,1.1357139324774133,1.1392482168330957,1.127108416547789,69.66666666666667,12,14,10,4,10,13
80,150,3,0.9,0.05,15,1.1355791726105564,1.1392482168330957,1.127108416547789,38.93333333333333,12,14,10,4,10,13
80,150,2,0.7,0.05,30,1.135552163575844,1.1392482168330957,1.1261925820256775,74.06666666666666,12,14,10,4,10,13
120,150,2,0.8,0.02,30,1.1354681883024251,1.1392482168330957,1.1305420827389443,64.33333333333333,12,14,10,4,10,13
120,150,3,0.7,0.02,15,1.1353857346647647,1.1392482168330957,1.1262553495007133,31.8,12,14,10,4,10,13
120,150,3,0.8,0.02,30,1.1353619591060389,1.1392482168330957,1.1209757489300998,49.2,12,14,10,4,10,13
120,150,2,0.7,0.02,30,1.1353078459343795,1.1392482168330957,1.1262553495007133,69,12,14,10,4,10,13
120,150,3,0.7,0.05,15,1.1353073704232048,1.1369543509272468,1.1261925820256775,37.53333333333333,12,14,10,4,10,10
120,150,2,0.8,0.05,30,1.1352318592486923,1.1392482168330957,1.127108416547789,72.26666666666667,12,14,10,4,10,13
80,150,3,0.9,0.02,30,1.1352122681883023,1.1369543509272468,1.127108416547789,56,12,14,10,4,10,10
120,150,3,0.8,0.02,15,1.1348430813124109,1.1392482168330957,1.1209757489300998,31.266666666666666,12,14,10,4,10,13
80,150,3,0.7,0.02,30,1.1346869234427008,1.1392482168330957,1.117416547788873,59.46666666666667,12,14,10,4,10,13
80,150,2,0.8,0.05,30,1.1346053257251545,1.1369543509272468,1.128549215406562,68.73333333333333,12,14,10,4,10,10
80,150,2,0.9,0.05,30,1.1343614835948646,1.1392482168330957,1.1244793152639088,73.4,12,14,10,4,10,13
80,150,2,0.9,0.02,15,1.1343563480741798,1.1392482168330957,1.127108416547789,36.733333333333334,12,14,10,4,10,13
80,150,3,0.8,0.02,30,1.1342813124108417,1.1369543509272468,1.1253323823109844,57,12,14,10,4,10,10
80,150,3,0.7,0.05,15,1.13426828340466,1.1392482168330957,1.1239129814550641,37,12,14,10,4,10,13
120,150,2,0.9,0.02,15,1.1341391345696623,1.1392482168330957,1.1194793152639089,39.6,12,14,10,4,10,13
120,150,2,0.7,0.05,30,1.1340533523537804,1.1369543509272468,1.1250456490727532,67.8,12,14,10,4,10,10
120,150,2,0.9,0.05,30,1.1338715168806466,1.1392482168330957,1.1209757489300998,77.33333333333333,12,14,10,4,10,13
80,150,3,0.8,0.05,30,1.1338440323347598,1.1392482168330957,1.1253323823109844,52.8,12,14,10,4,10,13
